name;rank;year;company;country;worth
Saleh Kamel;151;2001;Dallah al Baraka Group;SAU;3
Stephen Bechtel;151;2001;Bechtel Corporation;USA;3
Ciputra;152;1996;Ciputra Development;IDN;2,3
Ludwig Merckle;152;2014;Ratiopharm;DEU;8,6
Leonardo Del Vecchio;153;1996;?Luxottica;ITA;2,3
Antonia Johnson;153;2014;Axel Johnson Group;SWE;8,5
Donald Newhouse;153;2014;Advance Publications;USA;8,5
Galen Weston;153;2014;George Weston Limited;CAN;8,5
Hank & Doug Meijer;153;2014;Meijer;USA;8,5
Michael Kadoorie;153;2014;CLP Holdings;HKG;8,5
Michele Ferrero;154;1996;Ferrero spa;ITA;2,3
Eitaro Itoyama;155;1996;;JPN;2,3
Akio Morita;156;1996;Sony;JPN;2,3
Kim Woo-choong;157;1996;Daewoo Group;KOR;2,3
Kjeld Kirk Kristiansen;158;1996;Lego;DNK;2,3
Elon Musk;158;2014;Paypal, SpaceX, Tesla Motors;USA;8,4
Joseph Lau;158;2014;Chinese Estates Holdings;HKG;8,4
Stephan Schmidheiny;159;1996;Holcim;CHE;2,3
Robert Bass;160;1996;Sid Richardson Gasoline Co;USA;2,3
August von Finck;160;2014;Allianz, Merk Finck & Co;DEU;8,3
Ricardo Salinas Pliego;160;2014;Grupo Salinas/Group Elektra;MEX;8,3
Andronico Luksic;161;1996;Antofagasta;CHL;2,2
Adrian and John Swire;162;1996;Swire;HKG;2,2
Dietmar Hopp;162;2001;SAP AG;DEU;2,9
Hiroshi Yamauchi;162;2001;Nintendo;JPN;2,9
Joseph and Moise Safra;162;2001;Banco Safra (now Saftra Group);BRA;2,9
Leslie Wexner;162;2001;Limited Brands;USA;2,9
Lorenzo Zambrano;162;2001;Cemex;MEX;2,9
Andrei Skoch;162;2014;Metallionvest;RUS;8,2
Pierre Omidyar;162;2014;Ebay;USA;8,2
Xavier Niel;162;2014;Iliad;FRA;8,2
Prajogo Pangestu;163;1996;Barito Pacific;IDN;2,2
Akihiko Otsuka;164;1996;Otsuka Holdings;JPN;2,2
Kazuo Matsuda;165;1996;Nichiei;JPN;2,2
Margarita Louis-Dreyfus;165;2014;Louis-Dreyfus Goup;CHE;8,1
Lucio Tan;166;1996;Asia Brewery;PHL;2,2
Pierre Castel;166;2014;Goupe Castel;FRA;8
Philip Anschutz;167;1996;Circle A Drilling;USA;2,2
Aloysio de Andrade Faria;167;2001;Banco Real;BRA;2,8
Charles Dolan;167;2001;Cablevision and HBO;USA;2,8
Jack Taylor;167;2001;Enterprise;USA;2,8
John Sall;167;2001;SAS institute;USA;2,8
Klaus Jacobs;167;2001;Jacobs Suchard AG;CHE;2,8
Steven Udvar-Hazy;167;2001;International Lease Finance Corporation;USA;2,8
Yoshiaki Tsutsumi;167;2001;Seibu Corporation;JPN;2,8
Emmanuel Besnier;167;2014;Lactalis;FRA;7,9
Marvin Davis;168;1996;Davis Petroleum;USA;2,2
Blair Parry-Okeden;168;2014;Cox Enterprises;USA;7,7
David Duffield;168;2014;PeopleSoft;USA;7,7
Jean-Claude Decaux;168;2014;JCDecaux;FRA;7,7
Jim Kennedy;168;2014;Cox Enterprises;USA;7,7
Reinhold Wuerth;168;2014;Adolf Wurth Group;DEU;7,7
Lee Bass;169;1996;Sid Richardson Gasoline Co;USA;2,2
Roberto Marinho;170;1996;Globo Organizations;BRA;2,1
Philippe Bouriez;171;1996;Cora;FRA;2,1
Stefan Schoerghuber;172;1996;Schorghuber Group;DEU;2,1
Anneliese Brost;173;1996;Westdeutsche Allgemeine Zeitung;DEU;2,1
Jacques Servier;173;2014;Laboratories Servier;FRA;7,6
Johann Rupert;173;2014;Rembrandt Group;ZAF;7,6
R Budi Hartono;173;2014;Djarum;IDN;7,6
Tsai Wan-Tsai;173;2014;Fubon Financial holding Company;Taiwan;7,6
Funke family;174;1996;;DEU;2,1
Bruno Schroder;174;2001;Schroders;GBR;2,7
Cheng Yu-tung;174;2001;Chow Tai Fook Enterprises;HKG;2,7
Jeffrey Skoll;174;2001;Ebay;CAN;2,7
Samuel LeFrak;174;2001;LeFrack ;USA;2,7
Wang Yue-che;174;2001;Formosa Plastics;Taiwan;2,7
Kumar Birla;175;1996;Aditya Birla Group;IND;2,1
Masahiro Ohga;176;1996;;JPN;2,1
Ryoichi Jinnai;177;1996;Promise Consumer Finance;JPN;2,1
Charles Johnson;177;2014;Franklin Resources;USA;7,5
James Goodnight;177;2014;SAS institute;USA;7,5
John Malone;177;2014;Tele-Communications Inc;USA;7,5
John Menard, Jr.;177;2014;Menards;USA;7,5
Klaus Tschira;177;2014;SAP AG;DEU;7,5
Leonard Lauder;177;2014;Est?Lauder;USA;7,5
Lee Seng Wee;178;1996;Oversea-Chinese Banking Corporation;SGP;2,1
Jeffrey Koo Sr;179;1996;Koos Group;Taiwan;2,1
Den Fujita;179;2001;McDonald's Japan;JPN;2,6
Klaus Tschira;179;2001;SAP AG;DEU;2,6
Thomas Schmidheiny;179;2001;Holcim;CHE;2,6
Thaksin Shinawatra;180;1996;Advanced Info Service;THA;2,1
Leonard Lauder;181;1996;Est?Lauder;USA;2,1
Ronald Lauder;182;1996;Est?Lauder;USA;2,1
Alan Gerry;182;2001;Cablevision Industries;USA;2,5
Bernard Ecclestone;182;2001;Formula One Group;GBR;2,5
David Rockefeller;182;2001;Standard Oil;USA;2,5
Eugenio Garza Lagnera;182;2001;Femsa;MEX;2,5
Joan Kroc;182;2001;McDonald's;USA;2,5
John Malone;182;2001;Tele-Communications Inc;USA;2,5
Kerry Packer;182;2001;Consolidated Press Holdings Limited;AUS;2,5
Michael and Rainer Schmidt-Ruthenbeck;182;2001;Metro AG;DEU;2,5
Mustafa Rahmi Koc;182;2001;Koc Holding;TUR;2,5
Otto Beisheim;182;2001;Metro AG;DEU;2,5
Robert Rowling;182;2001;Tana Exploration Company;USA;2,5
Takemitsu Takizaki;182;2001;Keyence;JPN;2,5
Ted Turner;183;1996;CNN;USA;2,1
Vincent Bollore;183;2014;Bollore;FRA;7,4
Michel Fribourg;184;1996;Continental Grain Company;USA;2,1
Jim Pattison;184;2014;Jim Pattison Group;CAN;7,3
Michael Hartono;184;2014;Djarum;IDN;7,3
Roberto Rocca;185;1996;Techint;ARG;2
Dirce Navarro Camargo;186;1996;Camargo Correa Group;BRA;2
Augusto & Giorgio Perfetti;186;2014;Perfetti Van Melle;ITA;7,2
Heinz Hermann Thiele;186;2014;Knorr-Bremse AG;DEU;7,2
Johann Graf;186;2014;Novomatic Automatenhandels AG;AUT;7,2
Peter Woo;186;2014;Worldwide Shipping Group;HKG;7,2
Alain Wertheimer;187;1996;Chanel;FRA;2
Jacques Servier;188;1996;Laboratories Servier;FRA;2
Verspieren family;189;1996;Verspieren;FRA;2
Alfred von Oppenheim;190;1996;?Sal. Oppenheim;DEU;2
He Xiangjian;190;2014;Midea;CHN;7,1
Peter Woo;191;1996;Worldwide Shipping Group;HKG;2
Dietmar Hopp;191;2014;SAP AG;DEU;7
Eyal Ofer;191;2014;Zodiac Maritime Agencies;ISR;7
Graeme Hart;191;2014;Rank Group;NZL;7
Kumar Birla;191;2014;Aditya Birla Group;IND;7
Ralph Lauren;191;2014;Ralph Lauren;USA;7
Djuhar Sutanto;192;1996;Salim Group;IDN;2
Theodore Arison;193;1996;Carnival Corporation;ISR;2
Luciano Benetton;194;1996;Benetton Group;ITA;2
Henry Nicholas;194;2001;Broadcom Corporation;USA;2,4
Laurence Tisch;194;2001;Loews Corporation;USA;2,4
Leonard Stern;194;2001;Hartz Group;USA;2,4
Mikhail Khodorkovsky;194;2001;Yukos;RUS;2,4
Emilio Azcarraga Jean;195;1996;Grupo Televisa;MEX;2
John Gokongwei;196;1996;JG Summit Holdings;PHL;2
Charles Cadogan;196;2014;Cadogan Estates;GBR;6,9
Eli Broad;196;2014;Kaufman and Broad, SunAmerica;USA;6,9
Richard DeVos;196;2014;Amway;USA;6,9
Suleiman Kerimov;196;2014;Gazprom;RUS;6,9
Wei Jianjun;196;2014;Great Wall Motors;CHN;6,9
Yang Huiyan;196;2014;Country Garden Holdings;CHN;6,9
Henry Sy;197;1996;SM Malls;PHL;2
Manuel Villar;198;1996;C&P Homes;PHL;2
George Kaiser;198;2001;Kaiser-Francis Oil Company;USA;2,3
Gordon Getty;198;2001;Getty ;USA;2,3
Henry Samueli;198;2001;Broadcom Corporation;USA;2,3
Martin Bouygues;198;2001;Bouygues S.A.;FRA;2,3
Ralph Lauren;198;2001;Ralph Lauren;USA;2,3
Ray Hunt;198;2001;Hunt Oil. Co;USA;2,3
Richard Schulze;198;2001;Best Buy;USA;2,3
Robert Bosch Jr;198;2001;Robert Bosch GmbH;DEU;2,3
Susan Thompson Buffett;198;2001;Berkshire Hathaway;USA;2,3
Terry Gou;198;2001;Foxconn;Taiwan;2,3
William Davidson;198;2001;Guardian Industries;USA;2,3
Emilio Botin;199;1996;Grupo Santander;ESP;2
Thomas Schmidheiny;200;1996;Holcim;CHE;2
George Lucas;201;1996;Lucasfilm;USA;2
Charles Koch;202;1996;Koch industries;USA;2
Chung Mong-Koo;202;2014;Hyundai;KOR;6,8
Dustin Moskovitz;202;2014;Facebook;USA;6,8
Jan Koum;202;2014;WhatsApp;USA;6,8
David Koch;203;1996;Koch industries;USA;2
Lester Crown;204;1996;General Dynamics;USA;2
Donald Bren;205;1996;Irvine Company;USA;2
Nassef Sawiris;205;2014;Orascom;FIN;6,7
Nicky Oppenheimer;205;2014;De Beers;ZAF;6,7
Martha Ingram;206;1996;Ingram Industries;USA;2
James Goodnight;207;1996;SAS institute;USA;2
Takemitsu Takizaki;207;2014;Keyence;JPN;6,6
Ray Hunt;208;1996;Hunt Oil. Co;USA;2
James Packer;208;2014;Consolidated Press Holdings Limited;AUS;6,5
Leonid Fedun;208;2014;Lukoil;RUS;6,5
Micky Arison;208;2014;Carnival Corporation;USA;6,5
Oleg Deripaska;208;2014;SibAl;RUS;6,5
Laurence Tisch;209;1996;Loews Corporation;USA;2
Barbara Piasecka Johnson;209;2001;Johnson & Johnson;USA;2,2
Bernard Sherman;209;2001;Empire Laboratories;CAN;2,2
David Duffield;209;2001;PeopleSoft;USA;2,2
Frank Lowy;209;2001;Westfield Group;AUS;2,2
H Wayne Huizenga;209;2001;Waste Management;USA;2,2
James Kim;209;2001;Amkor;USA;2,2
Jean-Claude Decaux;209;2001;JCDecaux;FRA;2,2
Maersk McKinney Moller;209;2001;Maersk Group;DNK;2,2
Martha Ingram;209;2001;Ingram Industries;USA;2,2
Nancy Walton Laurie;209;2001;Walmart;USA;2,2
Shiv Nadar;209;2001;HCL;IND;2,2
Tadahiro Yoshida;209;2001;YKK;JPN;2,2
Thomas Siebel;209;2001;Siebel Systems;USA;2,2
Preston Tisch;210;1996;Loews Corporation;USA;2
Shoji Uehara;211;1996;Taisho Pharmaceutical;JPN;1,9
Chaijudh Karnasuta;212;1996;Italian-Thai development;THA;1,9
Eva Gonda Rivera;212;2014;FEMSA;MEX;6,4
Pansy Ho;212;2014;Sociedade de Turismo e Divers?es de Macau;HKG;6,4
Quek Leng Chan;212;2014;Hong Leong Financial Group;MYS;6,4
Sid Bass;213;1996;Sid Richardson Gasoline Co;USA;1,9
Mary Alice Dorrance Malone;214;1996;Campbell Soup;USA;1,9
David Geffen;215;1996;Asylum Records/Geffen Records/Dreamworks;USA;1,9
Dannine Avara;215;2014;Enterprise Products;USA;6,3
Herbert Kohler, Jr.;215;2014;Kohler Company;USA;6,3
Ivan Glasenberg;215;2014;Glencore Xstrata;AUS;6,3
Milane Frantz;215;2014;Enterprise Products;USA;6,3
Paolo & Gianfelice Mario Rocca;215;2014;Techint;ITA;6,3
Patrick Drahi;215;2014;Altice;FRA;6,3
Randa Williams;215;2014;Enterprise Products;USA;6,3
Scott Duncan;215;2014;Enterprise Products;USA;6,3
William Wrigley;216;1996;Wm Wrigley Jr. Company;USA;1,9
John Simplot;217;1996;J.R. Simplot Company;USA;1,9
Kerry Packer;218;1996;Consolidated Press Holdings Limited;AUS;1,8
Hasso Plattner;219;1996;SAP AG;DEU;1,8
Hugo Mann;220;1996;Mann Mobilia;DEU;1,8
Lee Hon Chiu;221;1996;Hysan Development;HKG;1,8
Lorenzo Rossi di Montelera;222;1996;Martini & Rossi;ITA;1,8
Abdullah Al Rajhi;222;2001;Al Rajhi bank;SAU;2,1
Achille Maramotti;222;2001;MaxMara;ITA;2,1
Adolf Merckle;222;2001;Ratiopharm;DEU;2,1
Adrian Swire;222;2001;Swire;GBR;2,1
Charles Johnson;222;2001;Franklin Resources;USA;2,1
Edmund Wattis Littlefield;222;2001;Utah Contstruction Company;USA;2,1
Ernest Stempel;222;2001;AIG;BMU;2,1
John Dorrance;222;2001;Campbell Soup;IRL;2,1
Louis Gonda;222;2001;ILFC;USA;2,1
Sammy Ofer;222;2001;Zodiac Maritime Agencies;ISR;2,1
Sergio Mantegazza;222;2001;Globus;CHE;2,1
Steven Spielberg;222;2001;DreamWorks;USA;2,1
Edmond Safra;223;1996;Banco Safra (now Saftra Group);LBN;1,8
Teh Hong Piow;224;1996;Public Bank;MYS;1,8
Rupert Johnson, Jr.;224;2014;Franklin Resources;USA;6,2
S. Truett Cathy;224;2014;Chick-fil-A;USA;6,2
Sumner Redstone;224;2014;National Amusements;USA;6,2
Alberto Bailleres Gonzalez;225;1996;Penoles;MEX;1,8
Huang Shi-hui;226;1996;Chinfon Group;Taiwan;1,8
Moores family;227;1996;Littlewoods;GBR;1,8
David Geffen;227;2014;Asylum Records/Geffen Records/Dreamworks;USA;6,1
Iskander Makhmudov;227;2014;Ural Mining and Metallurgical Company;RUS;6,1
Lucio Tan;227;2014;Asia Brewery;PHL;6,1
Pyotr Aven;227;2014;Alfa Group;RUS;6,1
Richard LeFrak;227;2014;LeFrack ;USA;6,1
Sandra Ortega Mera;227;2014;Zara;ESP;6,1
Thomas Frist, Jr.;227;2014;Hostpital Corporation of America;USA;6,1
Bennett Dorrance;228;1996;Campbell Soup;USA;1,8
Stanley Hubbard;229;1996;Hubbard Broadcasting Inc;USA;1,8
Eliodoro Matte;230;1996;CMPC;CHL;1,7
Goulandris family;231;1996;Fitzwilton;GRC;1,7
John Dorrance;232;1996;Campbell Soup;IRL;1,7
Masakuni Osano;233;1996;Kyo-Ya Company;JPN;1,7
Ingvar Kamprad;234;1996;IKEA;SWE;1,7
Antonio Champalimaud;234;2001;Maceira Liz;PRT;2
Ayhan Sahenk;234;2001;Dogus Holding;TUR;2
Edward Gaylord;234;2001;Gaylord Entertainment Company;USA;2
Fayez Sarofim;234;2001;Fayez Sarofim & Co;USA;2
Gary Winnick;234;2001;Global Crossing limited;USA;2
Georg Thyssen-Bornemisza;234;2001;TBG (Thyssen-Bornemisza Group) Holdings;CHE;2
Hubert Burda;234;2001;Hubert Burda Media;DEU;2
Hugo Mann;234;2001;Mann Mobilia;DEU;2
Jeffrey Bezos;234;2001;Amazon;USA;2
John Menard;234;2001;Menards;USA;2
John Morgridge;234;2001;Cisco Systems;USA;2
Patrick McGovern;234;2001;International Data Goup;USA;2
Peter Kellogg;234;2001;Spear, Leeds & Kellogg;USA;2
Richard Egan;234;2001;EMC Corporation;USA;2
Richard Li;234;2001;Cheung king;HKG;2
Robert Naify;234;2001;;USA;2
Theodore Waitt;234;2001;Gateway;USA;2
Chan Laiwa;234;2014;Fuwah International Group;CHN;6
Denis O'Brien;234;2014;Estat Digiphone (O2);IRL;6
Filaret Galchev;234;2014;Rosuglesbyt;RUS;6
Ira Rennert;234;2014;Renco;USA;6
James Irving;234;2014;J.D. Irving;CAN;6
Patrizio Bertelli;234;2014;Prada;ITA;6
Piya Bhirombhakdi;235;1996;Boon Rawd Brewery;THA;1,7
Boonchai Bencharongkul;236;1996;Total Access Communications;THA;1,7
Gordon Getty;237;1996;Getty ;USA;1,7
Theodore Waitt;238;1996;Gateway;USA;1,7
Harry Brakemann Helmsley;239;1996;Helmsley hotels;USA;1,7
Joan Kroc;240;1996;McDonald's;USA;1,7
Charles Schwab;240;2014;Charles Schwab Corporation;USA;5,8
Dennis Washington;240;2014;Washington Companies;USA;5,8
Gayle Cook;240;2014;Cook Group;USA;5,8
Leon Black;240;2014;Apollo Global management;USA;5,8
Micky Arison;241;1996;Carnival Corporation;USA;1,7
Luis Carlos Sarmiento Angulo;242;1996;Grupo Aval Acciones y Valores, SA;COL;1,6
Paul-Louis Halley;243;1996;Promodes;FRA;1,6
Rochling family;244;1996;Rochling Group;DEU;1,6
Hui Ka Yan;244;2014;Evergrande Group;CHN;5,7
Hui Wing Mau;244;2014;Shimao Property;HKG;5,7
Idan Ofer;244;2014;Zodiac Maritime Agencies;ISR;5,7
Isak Andic;244;2014;Mango;ESP;5,7
Jorn Rausing;244;2014;Tetra Pak;SWE;5,7
Leslie Wexner;244;2014;Limited Brands;USA;5,7
Patrick McGovern;244;2014;International Data Goup;USA;5,7
Sunil Mittal;244;2014;Bharti Enterprises;IND;5,7
Klaus Tschira;245;1996;SAP AG;DEU;1,6
Lo Ying Shek;246;1996;Great Eagle Holdings;HKG;1,6
R Budi Hartono;247;1996;Djarum;IDN;1,6
Kenkichi Nakajima;248;1996;Heiwa;JPN;1,6
Kunio Busujima;249;1996;Sankyo;JPN;1,6
Anton Rupert;250;1996;Rembrandt Group;ZAF;1,6
Gerald Cavendish Grosvenor;251;1996;Grosvenor Group;GBR;1,6
Abdul Aziz Al Ghurair;251;2001;Al-Ghurair Group;ARE;1,9
Akihiko Otsuka;251;2001;Otsuka Holdings;JPN;1,9
Alberto Bailleres Gonzalez;251;2001;Penoles;MEX;1,9
Arthur Blank;251;2001;Home Depot;USA;1,9
Glen Taylor;251;2001;Taylor Corporation;USA;1,9
Jim Pattison;251;2001;Jim Pattison Group;CAN;1,9
John Hargreaves;251;2001;Matalan;GBR;1,9
John Jahr;251;2001;;DEU;1,9
Khalid Bin Mahfouz;251;2001;National Comercial bank of Saudi Arabia;SAU;1,9
Kjeld Kirk Kristiansen;251;2001;Lego;DNK;1,9
Leona Helmsley;251;2001;Helmsley hotels;USA;1,9
Lowry Mays;251;2001;Clear Channel Communications;USA;1,9
Masao Morita;251;2001;Sony;JPN;1,9
Michael Krasny;251;2001;CDW Corporation;USA;1,9
Paolo Bulgari;251;2001;Bulgari;ITA;1,9
Richard Rainwater;251;2001;ENSCO International;USA;1,9
Robert Fisher;251;2001;The Gap;USA;1,9
Sam Zell;251;2001;Equity Group Investments;USA;1,9
Stefan Schoerghuber;251;2001;Schorghuber Group;DEU;1,9
Terence Matthews;251;2001;Mitel;CAN;1,9
Yasuyuki Nambu;251;2001;Pasona Inc;JPN;1,9
Riley Bechtel;252;1996;Bechtel Corporation;USA;1,6
Peter Nicholas;253;1996;Boston Scientific;USA;1,6
Ray Lee Hunt;253;2014;Hunt Oil. Co;USA;5,6
Stanley Kroenke;253;2014;Kroenke Sports Enterprises;USA;5,6
Teh Hong Piow;253;2014;Public Bank;MYS;5,6
Stephen Bechtel;254;1996;Bechtel Corporation;USA;1,6
Peugeot family;255;1996;Peugeot;FRA;1,5
Karl Diehl;256;1996;Diehl Stiftung;DEU;1,5
Arthur Irving;256;2014;Irving Oil;CAN;5,5
Bruno Schroder;256;2014;Schroders;GBR;5,5
Carlos and Alejandro Bulgheroni;256;2014;Bridas Energy;ARG;5,5
Jeffery Hildebrand;256;2014;Hilcorp Energy Company;USA;5,5
Liu Yongxing;256;2014;East Hope Group;CHN;5,5
Michael Ashley;256;2014;Sports Direct;GBR;5,5
Thomas Schmidheiny;256;2014;Holcim;CHE;5,5
Simon family;257;1996;;DEU;1,5
Albert von Thurn und Taxis;258;1996;von Thurn and Taxis family;DEU;1,5
John Jahr;259;1996;;DEU;1,5
Freudenberg family;260;1996;Freudenberg Group;DEU;1,5
Lakshmi Mittal;261;1996;ArcelorMittal;IND;1,5
Kenshin Oshima;262;1996;SFCG;JPN;1,5
Martin Hilti;263;1996;Hilti;LIE;1,5
Melker Schorling;263;2014;Melker Schorling AB (MSAB);SWE;5,4
Sergei Popov;263;2014;MDM Bank;RUS;5,4
Stephen Ross;263;2014;The Related Companies;USA;5,4
Terry Gou;263;2014;Foxconn;Taiwan;5,4
Yeoh Tiong Lay;264;1996;YTL Corporation;MYS;1,5
Ananda Krishnan;265;1996;Usaha Tegas Sdn Bhd;MYS;1,5
Bernardo Garza Sada;266;1996;Grupo ALFA;MEX;1,5
Juffali family;267;1996;Juffali Group;SAU;1,5
Americo Amorim;267;2014;Corticeira Amorim;PRT;5,3
Anders Holch Povlsen;267;2014;Bestseller;DEN;5,3
Stef Wertheimer;267;2014;ISCAR;ISR;5,3
Willi and Isolde Liebherr;268;1996;Liebherr;CHE;1,5
Martin Ebner;269;1996;BZ Bank;CHE;1,5
Sergio Mantegazza;270;1996;Globus;CHE;1,5
Andrew Forrest;270;2014;Fortescue Metals Group;AUS;5,2
Bidzina Ivanishvili;270;2014;Rossiysky Kredit;GEO;5,2
Karl-Heinz Kipp;270;2014;Massa;DEU;5,2
Ken Griffin;270;2014;Citadel LLC;USA;5,2
Kwee brothers;270;2014;Pontiac Land;SGP;5,2
Maria Asuncion Aramburuzabala;270;2014;Grupo Modelo;MEX;5,2
Wee Cho Yaw;270;2014;United Overseas Bank;SGP;5,2
Shi Wen-long;271;1996;Chi Mei Corporation;Taiwan;1,5
Prachai Leophairatana;272;1996;Thai Petrochemical Industry;THA;1,5
Blase Golisano;272;2001;Paychex;USA;1,8
Carl Pohlad;272;2001;Marquette Bank;USA;1,8
Charles Butt;272;2001;H-E-B supermarket;USA;1,8
Daniel Abraham;272;2001;Slim-Fast;USA;1,8
Donald Hall;272;2001;Hallmark Cards;USA;1,8
Herbert Allen;272;2001;Allen & Company;USA;1,8
Irwin Jacobs;272;2001;Qualcomm;USA;1,8
Jeronimo Arango;272;2001;Aurrera;MEX;1,8
John Fisher;272;2001;The Gap;USA;1,8
Juan and Carlos March;272;2001;Acciona Trasmediterranea;ESP;1,8
Julio Bozano;272;2001;Banco Bozano Simonsen;BRA;1,8
Kenichi Mabuchi;272;2001;Mabuchi Motor Company;JPN;1,8
Lakshmi Mittal;272;2001;ArcelorMittal;GBR;1,8
Leslie Gonda;272;2001;ILFC;USA;1,8
Maria Asuncion Aramburuzabala;272;2001;Grupo Modelo;MEX;1,8
Mary Alice Dorrance Malone;272;2001;Campbell Soup;USA;1,8
Richard Branson;272;2001;Virgin Group;GBR;1,8
Richard Farmer;272;2001;Cintas Corporation;USA;1,8
Ronald Burkle;272;2001;Yucaipa Companies;USA;1,8
Vladimir Potanin;272;2001;Interros;RUS;1,8
John Abele;273;1996;Boston Scientific;USA;1,5
James Cargill;274;1996;Cargill;USA;1,5
Margaret Cargill;275;1996;Cargill;USA;1,5
Michel David-Weill;276;1996;Lazard;FRA;1,4
Serge Dassault;277;1996;Dassault Group;FRA;1,4
Robert Bosch Jr;278;1996;Robert Bosch GmbH;DEU;1,4
Finn Rausing;278;2014;Tetra Pak;SWE;5,1
Jacqueline Desmarais;278;2014;Power Corporation of Canada;CAN;5,1
Kirsten Rausing;278;2014;Tetra Pak;SWE;5,1
Takemitsu Takizaki;279;1996;Keyence;JPN;1,4
Hiroshi Yamauchi;280;1996;Nintendo;JPN;1,4
Tajudin Ramli;281;1996;Malaysia Airlines;MYS;1,4
Anil Ambani;281;2014;Reliance;IND;5
Antonio Del Valle Ruiz;281;2014;Mexichem;MEX;5
Bruce Halle;281;2014;Discount Tire;USA;5
David Green;281;2014;Hobby Lobby;USA;5
Frederik Paulsen;281;2014;Ferring Pharmaceuticals;SWE;5
George Roberts;281;2014;Kohlberg Kravis Roberts;USA;5
Gordon Moore;281;2014;Intel ;USA;5
Harry Triguboff;281;2014;Meriton;AUS;5
Henry Kravis;281;2014;Kohlberg Kravis Roberts;USA;5
Joe Lewis;281;2014;Tavistock Group;GBR;5
Micky Jagtiani;281;2014;Landmark Group;IND;5
Richard Branson;281;2014;Virgin Group;GBR;5
Stein Erik Hagen;281;2014;RIMI;NOR;5
Walter Kwok;281;2014;Sun Hung Kai Properties;HKG;5
Alfonso Romo Garza;282;1996;Pulsar International;MEX;1,4
Jorge Larrea;283;1996;Grupo Mexico;MEX;1,4
Maria Asuncion Aramburuzabala;284;1996;Grupo Modelo;MEX;1,4
Stefan Persson;285;1996; H&M;SWE;1,4
Klaus Jacobs;286;1996;Jacobs Suchard AG;CHE;1,4
Krit Ratanarak;287;1996;Bank of Ayudhya/Bangkok Broadcasting and Television Company;THA;1,4
Ayhan Sahenk;288;1996;Dogus Holding;TUR;1,4
Richard Branson;289;1996;Virgin Group;GBR;1,4
James Sorenson;290;1996;Sorenson Companies;USA;1,4
H Wayne Huizenga;291;1996;Waste Management;USA;1,4
Kenneth Troutt;292;1996;Excel Communications;USA;1,4
Andre Kudelski;292;2001;Kudelski Group;CHE;1,7
Clayton Mathile;292;2001;Iams;USA;1,7
Clemmie Spangler Jr;292;2001;Bank of North Carolina;USA;1,7
Donald Trump;292;2001;The Trump Organization;USA;1,7
Eugene Melnyk;292;2001;Biovail Corporation;CAN;1,7
Giorgio Armani;292;2001;Armani;ITA;1,7
Gregorio Perez Companc;292;2001;Petrolera Perez Companc;ARG;1,7
James Jannard;292;2001;Oakley, Inc;USA;1,7
Jess Jackson;292;2001;Kendall-Jackson;USA;1,7
John Arrillaga;292;2001;;USA;1,7
Kenneth Morrison;292;2001;Morrisons;GBR;1,7
Kumar Birla;292;2001;Aditya Birla Group;IND;1,7
Lawrence Flinn Jr;292;2001;UVSG;USA;1,7
Michele Ferrero;292;2001;Ferrero spa;ITA;1,7
Rachman Halim;292;2001;Gudang Garam;IDN;1,7
Richard Peery;292;2001;;USA;1,7
Robert Rich Sr;292;2001;Rich Products;USA;1,7
Roger Sant;292;2001;AES;USA;1,7
Rupert Johnson;292;2001;Franklin Resources;USA;1,7
Scott McNealy;292;2001;Sun Microsystems;USA;1,7
Maurice Greenberg;293;1996;AIG;USA;1,4
Alfred Lerner;294;1996;MBNA;USA;1,4
David Rockefeller;295;1996;Standard Oil;USA;1,4
Albert Frere;295;2014;Groupe Bruxelles Lambert;BEL;4,9
Cyrus Poonawalla;295;2014;Serum Institute of India;IND;4,9
Erivan Haub;295;2014;Tenglemann Group;DEU;4,9
Frits Goldschmeding;295;2014;Randstad;NLD;4,9
George Lucas;295;2014;Lucasfilm;USA;4,9
Heinz-Horst Deichmann;295;2014;Heinrich Deichmann-Schuhe;DEU;4,9
Kunio Busujima;295;2014;Sankyo;JPN;4,9
Robert Rowling;295;2014;Tana Exploration Company;USA;4,9
Savitri Jindal;295;2014;O.P. Jindal Group;IND;4,9
Shashi and Ravi Ruia;295;2014;Essar Group;IND;4,9
Jose Said Saffie;296;1996;;CHL;1,3
Jaime Said Demarfa;297;1996;;CHL;1,3
Carlos Ardila Lulle;298;1996;Organizacion Ardila Lulle;COL;1,3
Julio Mario Santo Domingo;299;1996;Santo Domingo Group;COL;1,3
Hans-Werner Hector;300;1996;SAP AG;DEU;1,3
Reinhard Mohn;301;1996;Bertelsmann;DEU;1,3
Baldwin and Nikolaus Knauf;302;1996;Edmond de Rothschild Group;DEU;1,3
Reinhold Wuerth;303;1996;Adolf Wurth Group;DEU;1,3
Chen Din Hwa;304;1996;Nan Fung Textiles;HKG;1,3
Sjamsul Nursalim;305;1996;Gajah Tunggal;IDN;1,3
Abdulla bin Ahmad Al Ghurair;305;2014;Al-Ghurair Group;ARE;4,8
Ann Walton Kroenke;305;2014;Walmart;USA;4,8
Bruce Kovner;305;2014;Caxton Associates;USA;4,8
Daniel Ziff;305;2014;Ziff Davis Inc;USA;4,8
Dirk Ziff;305;2014;Ziff Davis Inc;USA;4,8
Gwendolyn Sontheim Meyer;305;2014;Cargill;USA;4,8
Juan Roig;305;2014;Mercadona;ESP;4,8
